Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Summary;;;;;;;;;;;;;;;;;;;;;;;;
"H3KUEI3L,journalArticle,2024.0,""Yi, Peng"; Liang, Lei; Zhang, Da; Chen, Yong; Zhu, Jinye; Liu, Xiangyu; Tang, Kun; Chen, Jialin; Lin, Hao; Qiu, Leijie;" Zhou, Jun"",KGFabric: A Scalable Knowledge Graph Warehouse for Enterprise Data Interconnection,Proceedings of the VLDB Endowment,,2150-8097,10.14778/3685800.3685810,https://dl.acm.org/doi/10.14778/3685800.3685810,""Based on the diversified application scenarios at Ant Group, we built the Ant Knowledge Graph Platform (AKGP). It has constructed numerous domain-specific knowledge graphs related to merchants, companies, accounts, products, and more. AKGP manages trillions of structured knowledge graphs, serving search, recommendation, risk control and other businesses. However, as the demand increasing for various workloads such as graph pattern matching, graph representation learning, and cross-domain knowledge reuse, the existing warehouse systems based on relational DBMS or graph databases are unable to meet the requirements. To address these issues, we propose KGFabric, an industrial-scale knowledge graph management system built on the distributed file system (DFS). KGFabric offers a nearline knowledge storage engine that utilizes a Semantic-enhanced Programmable Graph (SPG) model, which is compatible with the Labeled Property Graph (LPG) model. The data is persistently stored in DFS, such as HDFS, which leverages the POSIX file system API, making it suitable for deployment in multi-cloud environment at low cost. KGFabric provides a native graph-based and hybrid storage format that can serve as a shared backend for parallel graph computing systems, significantly accelerating the analysis of multi-workload. Additionally, KGFabric includes a graph fabric framework that minimizes data duplication and guarantees data security.             KGFabric is able to manage Peta-scale data and has supported graph fabric and analysis with over 100 billion relations at Ant Group. We conduct experiments on various datasets to evaluate the performance of KGFabric. Compared with popular relational DBMS and graph databases, the storage space for semantic relations is reduced by over 90%. The performance of graph fabric improves by 21× in real-world workloads. In multi-hop semantic graph analysis, KGFabric enhances performance by 100×."",2024-08,2024-11-26 18:03:34,2024-11-26 18:03:34,2024-11-26 18:03:34,3841-3854,,12.0,17.0,,Proc. VLDB Endow.,KGFabric,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;
"M7HZL9BW,journalArticle,2024.0,""Chen, Yunpeng"; Zhao, Ying; Li, Xuanjing; Zhang, Jiang; Long, Jiang;" Zhou, Fangfang"",Corrigendum to “An open dataset of data lineage graphs for data governance research” [Vis. Inform. 8 (1) (2024) 1-5],Visual Informatics,,2468-502X,10.1016/j.visinf.2024.04.002,https://www.sciencedirect.com/science/article/pii/S2468502X24000159,,2024-06-01,2025-02-16 15:06:13,2025-02-16 15:06:13,2025-02-16 15:06:13,115,,2.0,8.0,,Visual Informatics,,,,,,,,,,,,,ScienceDirect,,,,C:\Users\kasutaja\Zotero\storage\HIPP87ZG\S2468502X24000159.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstrakti pole saadaval.";;;;;;;;;;;;;;;;;;;
"HR8HLQIS,preprint,2024.0,""Sepasdar, Zahra"; Gautam, Sushant; Midoglu, Cise; Riegler, Michael A.;" Halvorsen, Pål"",Enhancing Structured-Data Retrieval with GraphRAG: Soccer Data Case Study,,,,10.48550/arXiv.2409.17580,http://arxiv.org/abs/2409.17580,""Extracting meaningful insights from large and complex datasets poses significant challenges, particularly in ensuring the accuracy and relevance of retrieved information. Traditional data retrieval methods such as sequential search and index-based retrieval often fail when handling intricate and interconnected data structures, resulting in incomplete or misleading outputs. To overcome these limitations, we introduce Structured-GraphRAG, a versatile framework designed to enhance information retrieval across structured datasets in natural language queries. Structured-GraphRAG utilizes multiple knowledge graphs, which represent data in a structured format and capture complex relationships between entities, enabling a more nuanced and comprehensive retrieval of information. This graph-based approach reduces the risk of errors in language model outputs by grounding responses in a structured format, thereby enhancing the reliability of results. We demonstrate the effectiveness of Structured-GraphRAG by comparing its performance with that of a recently published method using traditional retrieval-augmented generation. Our findings show that Structured-GraphRAG significantly improves query processing efficiency and reduces response times. While our case study focuses on soccer data, the framework's design is broadly applicable, offering a powerful tool for data analysis and enhancing language model applications across various structured domains."",2024-09-26,2025-02-16 15:17:16,2025-02-16 15:17:16,2025-02-16 15:17:16,,,,,,,Enhancing Structured-Data Retrieval with GraphRAG,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2409.17580 [cs],,C:\Users\kasutaja\Zotero\storage\3F4YUA7L\Sepasdar et al. - 2024 - Enhancing Structured-Data Retrieval with GraphRAG.pdf"; C:\Users\kasutaja\Zotero\storage\RCPZ8PJC\2409.html,,,Computer Science - Artificial Intelligence; Computer Science - Databases; Computer Science - Information Retrieval,,,,,,,,,,,,,,,,,,,arXiv:2409.17580,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;
"SZGXEBNY,preprint,2024.0,""Abane, Amar"; Bekri, Anis;" Battou, Abdella"",FastRAG: Retrieval Augmented Generation for Semi-structured Data,,,,10.48550/arXiv.2411.13773,http://arxiv.org/abs/2411.13773,""Efficiently processing and interpreting network data is critical for the operation of increasingly complex networks. Recent advances in Large Language Models (LLM) and Retrieval-Augmented Generation (RAG) techniques have improved data processing in network management. However, existing RAG methods like VectorRAG and GraphRAG struggle with the complexity and implicit nature of semi-structured technical data, leading to inefficiencies in time, cost, and retrieval. This paper introduces FastRAG, a novel RAG approach designed for semi-structured data. FastRAG employs schema learning and script learning to extract and structure data without needing to submit entire data sources to an LLM. It integrates text search with knowledge graph (KG) querying to improve accuracy in retrieving context-rich information. Evaluation results demonstrate that FastRAG provides accurate question answering, while improving up to 90% in time and 85% in cost compared to GraphRAG."",2024-11-21,2025-02-16 15:23:39,2025-02-16 15:23:39,2025-02-16 15:23:39,,,,,,,FastRAG,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2411.13773 [cs],,C:\Users\kasutaja\Zotero\storage\44APPXJJ\Abane et al. - 2024 - FastRAG Retrieval Augmented Generation for Semi-s.pdf"; C:\Users\kasutaja\Zotero\storage\GTK8IZZN\2411.html,,,Computer Science - Artificial Intelligence; Computer Science - Networking and Internet Architecture,,,,,,,,,,,,,,,,,,,arXiv:2411.13773,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;;;;
"24ZC47M7,preprint,2024.0,""Guo, Zirui"; Xia, Lianghao; Yu, Yanhua; Ao, Tu;" Huang, Chao"",LightRAG: Simple and Fast Retrieval-Augmented Generation,,,,10.48550/arXiv.2410.05779,http://arxiv.org/abs/2410.05779,""Retrieval-Augmented Generation (RAG) systems enhance large language models (LLMs) by integrating external knowledge sources, enabling more accurate and contextually relevant responses tailored to user needs. However, existing RAG systems have significant limitations, including reliance on flat data representations and inadequate contextual awareness, which can lead to fragmented answers that fail to capture complex inter-dependencies. To address these challenges, we propose LightRAG, which incorporates graph structures into text indexing and retrieval processes. This innovative framework employs a dual-level retrieval system that enhances comprehensive information retrieval from both low-level and high-level knowledge discovery. Additionally, the integration of graph structures with vector representations facilitates efficient retrieval of related entities and their relationships, significantly improving response times while maintaining contextual relevance. This capability is further enhanced by an incremental update algorithm that ensures the timely integration of new data, allowing the system to remain effective and responsive in rapidly changing data environments. Extensive experimental validation demonstrates considerable improvements in retrieval accuracy and efficiency compared to existing approaches. We have made our LightRAG open-source and available at the link: https://github.com/HKUDS/LightRAG."",2024-11-07,2025-02-16 15:26:56,2025-02-16 15:26:56,2025-02-16 15:26:56,,,,,,,LightRAG,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2410.05779 [cs],,C:\Users\kasutaja\Zotero\storage\R9NSDHJY\Guo et al. - 2024 - LightRAG Simple and Fast Retrieval-Augmented Gene.pdf"; C:\Users\kasutaja\Zotero\storage\I4RQIPVS\2410.html,,,Computer Science - Artificial Intelligence; Computer Science - Information Retrieval,,,,,,,,,,,,,,,,,,,arXiv:2410.05779,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;;
"4RYSVCM5,journalArticle,2014.0,""Poess, Meikel"; Rabl, Tilmann; Jacobsen, Hans-Arno;" Caufield, Brian"",TPC-DI: the first industry benchmark for data integration,Proceedings of the VLDB Endowment,,2150-8097,10.14778/2733004.2733009,https://dl.acm.org/doi/10.14778/2733004.2733009,""Historically, the process of synchronizing a decision support system with data from operational systems has been referred to as Extract, Transform, Load (ETL) and the tools supporting such process have been referred to as ETL tools. Recently, ETL was replaced by the more comprehensive acronym, data integration (DI). DI describes the process of extracting and combining data from a variety of data source formats, transforming that data into a uniﬁed data model representation and loading it into a data store. This is done in the context of a variety of scenarios, such as data acquisition for business intelligence, analytics and data warehousing, but also synchronization of data between operational applications, data migrations and conversions, master data management, enterprise data sharing and delivery of data services in a service-oriented architecture context, amongst others. With these scenarios relying on up-to-date information it is critical to implement a highly performing, scalable and easy to maintain data integration system. This is especially important as the complexity, variety and volume of data is constantly increasing and performance of data integration systems is becoming very critical. Despite the signiﬁcance of having a highly performing DI system, there has been no industry standard for measuring and comparing their performance. The TPC, acknowledging this void, has released TPC-DI, an innovative benchmark for data integration. This paper motivates the reasons behind its development, describes its main characteristics including workload, run rules, metric, and explains key decisions."",2014-08,2025-02-26 15:15:15,2025-02-26 15:15:16,2025-02-26 15:15:15,1367-1378,,13.0,7.0,,Proc. VLDB Endow.,TPC-DI,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\kasutaja\Zotero\storage\ZCERZ79F\Poess et al. - 2014 - TPC-DI the first industry benchmark for data inte.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;;;;;;
"7FF9YXTM,journalArticle,2024.0,""Wang, Dingzirui"; Dou, Longxu; Che, Wanxiang; Wang, Jiaqi; Liu, Jinbo; Li, Lixin; Shang, Jingan; Tao, Lei; Zhang, Jie; Fu, Cong;" Song, Xuri"",ConDA: state-based data augmentation for context-dependent text-to-SQL,International Journal of Machine Learning and Cybernetics,,""1868-8071, 1868-808X"",10.1007/s13042-023-02086-z,https://link.springer.com/10.1007/s13042-023-02086-z,,2024-08,2025-03-03 20:07:27,2025-03-03 20:07:27,2025-03-03 20:07:26,3157-3168,,8.0,15.0,,Int. J. Mach. Learn. & Cyber.,ConDA,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\kasutaja\Zotero\storage\SBQ2SHST\Wang et al. - 2024 - ConDA state-based data augmentation for context-d.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstrakti pole saadaval.";;;;;;;;;;;;;;
"X68S6JT7,preprint,2024.0,""Liu, Yifan"; Kuai, Chenchen; Ma, Haoxuan; Liao, Xishun; He, Brian Yueshuai;" Ma, Jiaqi"",Semantic Trajectory Data Mining with LLM-Informed POI Classification,,,,10.48550/arXiv.2405.11715,http://arxiv.org/abs/2405.11715,""Human travel trajectory mining is crucial for transportation systems, enhancing route optimization, traffic management, and the study of human travel patterns. Previous rule-based approaches without the integration of semantic information show a limitation in both efficiency and accuracy. Semantic information, such as activity types inferred from Points of Interest (POI) data, can significantly enhance the quality of trajectory mining. However, integrating these insights is challenging, as many POIs have incomplete feature information, and current learning-based POI algorithms require the integrity of datasets to do the classification. In this paper, we introduce a novel pipeline for human travel trajectory mining. Our approach first leverages the strong inferential and comprehension capabilities of large language models (LLMs) to annotate POI with activity types and then uses a Bayesian-based algorithm to infer activity for each stay point in a trajectory. In our evaluation using the OpenStreetMap (OSM) POI dataset, our approach achieves a 93.4% accuracy and a 96.1% F-1 score in POI classification, and a 91.7% accuracy with a 92.3% F-1 score in activity inference."",2024-08-19,2025-03-03 20:19:16,2025-03-03 20:19:16,2025-03-03 20:19:16,,,,,,,,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2405.11715 [cs],,C:\Users\kasutaja\Zotero\storage\BVZFGW6H\Liu et al. - 2024 - Semantic Trajectory Data Mining with LLM-Informed .pdf"; C:\Users\kasutaja\Zotero\storage\U7TNBQRR\2405.html,,,Computer Science - Machine Learning; Computer Science - Artificial Intelligence,,,,,,,,,,,,,,,,,,,arXiv:2405.11715,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;
"XT3AD7QU,journalArticle,2023.0,""Wu, Xuehong"; Duan, Junwen; Pan, Yi;" Li, Min"",""Medical Knowledge Graph: Data Sources, Construction, Reasoning, and Applications"",Big Data Mining and Analytics,,2097-406X,10.26599/BDMA.2022.9020021,https://ieeexplore.ieee.org/document/10026520/?arnumber=10026520,""Medical knowledge graphs (MKGs) are the basis for intelligent health care, and they have been in use in a variety of intelligent medical applications. Thus, understanding the research and application development of MKGs will be crucial for future relevant research in the biomedical field. To this end, we offer an in-depth review of MKG in this work. Our research begins with the examination of four types of medical information sources, knowledge graph creation methodologies, and six major themes for MKG development. Furthermore, three popular models of reasoning from the viewpoint of knowledge reasoning are discussed. A reasoning implementation path (RIP) is proposed as a means of expressing the reasoning procedures for MKG. In addition, we explore intelligent medical applications based on RIP and MKG and classify them into nine major types. Finally, we summarize the current state of MKG research based on more than 130 publications and future challenges and opportunities."",2023-06,2025-03-03 20:24:18,2025-03-03 20:24:18,2025-03-03 20:24:18,201-217,,2.0,6.0,,,Medical Knowledge Graph,,,,,,,,,,,,IEEE Xplore,,Conference Name: Big Data Mining and Analytics,,""C:\Users\kasutaja\Zotero\storage\ICT5TBXC\Wu et al. - 2023 - Medical Knowledge Graph Data Sources, Constructio.pdf";" C:\Users\kasutaja\Zotero\storage\H3WQGAKW\10026520.html"",,,Cognition"; Big Data; Biological system modeling; Biomedical equipment; Data mining; intelligent healthcare; intelligent medical applications; knowledge graph construction; knowledge reasoning; medical knowledge graph; Medical services; Soft sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;
"V7CALF7R,journalArticle,2024.0,,IEEE Standard for Technical Requirements and Evaluating Knowledge Graphs,IEEE Std 2807.1-2024,,,10.1109/IEEESTD.2024.10685394,https://ieeexplore.ieee.org/document/10685394/?arnumber=10685394,""This standard defines technical requirements, performance metrics, evaluation criteria and test cases for knowledge graphs. The mandatory test cases include data input, metadata, data extraction, data fusion, data storage and retrieval, inference and analysis, and knowledge graph display. This standard can be applied in various organizations that plan, design, develop, implement, and apply knowledge and in organizations that develop support technologies, tools, and services to knowledge graphs."",2024-09,2025-03-03 20:26:25,2025-03-03 20:26:25,2025-03-03 20:26:25,1-57,,,,,,,,,,,,,,,,,,IEEE Xplore,,Conference Name: IEEE Std 2807.1-2024,,C:\Users\kasutaja\Zotero\storage\XD4Y7API\2024 - IEEE Standard for Technical Requirements and Evalu.pdf"; C:\Users\kasutaja\Zotero\storage\YSPEZ3T3\10685394.html,,,Data integration; knowledge graph; knowledge graph construction; IEEE 2807.1™; knowledge graph application; knowledge graph evaluation; Knowledge graphs; Measurement; Memory; Organizations; performance metrics; Standards organizations; Technical requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;
"F3E5DETM,preprint,2019.0,""Devlin, Jacob"; Chang, Ming-Wei; Lee, Kenton;" Toutanova, Kristina"",BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,,,,10.48550/arXiv.1810.04805,http://arxiv.org/abs/1810.04805,""We introduce a new language representation model called BERT, which stands for Bidirectional Encoder Representations from Transformers. Unlike recent language representation models, BERT is designed to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers. As a result, the pre-trained BERT model can be fine-tuned with just one additional output layer to create state-of-the-art models for a wide range of tasks, such as question answering and language inference, without substantial task-specific architecture modifications. BERT is conceptually simple and empirically powerful. It obtains new state-of-the-art results on eleven natural language processing tasks, including pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1 (5.1 point absolute improvement)."",2019-05-24,2025-03-03 20:53:51,2025-03-03 20:53:51,2025-03-03 20:53:51,,,,,,,BERT,,,,,arXiv,,,,,,,arXiv.org,,arXiv:1810.04805 [cs],,C:\Users\kasutaja\Zotero\storage\QYU5HL3Q\Devlin et al. - 2019 - BERT Pre-training of Deep Bidirectional Transform.pdf"; C:\Users\kasutaja\Zotero\storage\6RWUYV4Q\1810.html,,,Computer Science - Computation and Language,,,,,,,,,,,,,,,,,,,arXiv:1810.04805,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;;;;
"WP4AVJRZ,preprint,2025.0,""Yang, Hansi"; Zhang, Qi; Jiang, Wei;" Li, Jianguo"",PASemiQA: Plan-Assisted Agent for Question Answering on Semi-Structured Data with Text and Relational Information,,,,10.48550/arXiv.2502.21087,http://arxiv.org/abs/2502.21087,""Large language models (LLMs) have shown impressive abilities in answering questions across various domains, but they often encounter hallucination issues on questions that require professional and up-to-date knowledge. To address this limitation, retrieval-augmented generation (RAG) techniques have been proposed, which retrieve relevant information from external sources to inform their responses. However, existing RAG methods typically focus on a single type of external data, such as vectorized text database or knowledge graphs, and cannot well handle real-world questions on semi-structured data containing both text and relational information. To bridge this gap, we introduce PASemiQA, a novel approach that jointly leverages text and relational information in semi-structured data to answer questions. PASemiQA first generates a plan to identify relevant text and relational information to answer the question in semi-structured data, and then uses an LLM agent to traverse the semi-structured data and extract necessary information. Our empirical results demonstrate the effectiveness of PASemiQA across different semi-structured datasets from various domains, showcasing its potential to improve the accuracy and reliability of question answering systems on semi-structured data."",2025-02-28,2025-03-03 21:00:23,2025-03-03 21:00:23,2025-03-03 21:00:23,,,,,,,PASemiQA,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2502.21087 [cs],,C:\Users\kasutaja\Zotero\storage\FMZPB6MD\Yang et al. - 2025 - PASemiQA Plan-Assisted Agent for Question Answeri.pdf"; C:\Users\kasutaja\Zotero\storage\D9JDXGFP\2502.html,,,Computer Science - Artificial Intelligence; Computer Science - Computation and Language,,,,,,,,,,,,,,,,,,,arXiv:2502.21087,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;;;
"ZVP4MFL9,preprint,2021.0,""Choudhary, Shivani"; Luthra, Tarun; Mittal, Ashima;" Singh, Rajat"",A Survey of Knowledge Graph Embedding and Their Applications,,,,10.48550/arXiv.2107.07842,http://arxiv.org/abs/2107.07842,""Knowledge Graph embedding provides a versatile technique for representing knowledge. These techniques can be used in a variety of applications such as completion of knowledge graph to predict missing information, recommender systems, question answering, query expansion, etc. The information embedded in Knowledge graph though being structured is challenging to consume in a real-world application. Knowledge graph embedding enables the real-world application to consume information to improve performance. Knowledge graph embedding is an active research area. Most of the embedding methods focus on structure-based information. Recent research has extended the boundary to include text-based information and image-based information in entity embedding. Efforts have been made to enhance the representation with context information. This paper introduces growth in the field of KG embedding from simple translation-based models to enrichment-based models. This paper includes the utility of the Knowledge graph in real-world applications."",2021-07-16,2025-03-03 21:12:04,2025-03-03 21:12:04,2025-03-03 21:12:04,,,,,,,,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2107.07842 [cs],,C:\Users\kasutaja\Zotero\storage\JMTIR739\Choudhary et al. - 2021 - A Survey of Knowledge Graph Embedding and Their Ap.pdf"; C:\Users\kasutaja\Zotero\storage\KLS2RHE5\2107.html,,,Computer Science - Artificial Intelligence; Computer Science - Information Retrieval,,,,,,,,,,,,,,,,,,,arXiv:2107.07842,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;;;
"4UB6FJR8,journalArticle,2017.0,""Wang, Quan"; Mao, Zhendong; Wang, Bin;" Guo, Li"",Knowledge Graph Embedding: A Survey of Approaches and Applications,IEEE Transactions on Knowledge and Data Engineering,,1558-2191,10.1109/TKDE.2017.2754499,https://ieeexplore.ieee.org/document/8047276/?arnumber=8047276,""Knowledge graph (KG) embedding is to embed components of a KG including entities and relations into continuous vector spaces, so as to simplify the manipulation while preserving the inherent structure of the KG. It can benefit a variety of downstream tasks such as KG completion and relation extraction, and hence has quickly gained massive attention. In this article, we provide a systematic review of existing techniques, including not only the state-of-the-arts but also those with latest trends. Particularly, we make the review based on the type of information used in the embedding task. Techniques that conduct embedding using only facts observed in the KG are first introduced. We describe the overall framework, specific model design, typical training procedures, as well as pros and cons of such techniques. After that, we discuss techniques that further incorporate additional information besides facts. We focus specifically on the use of entity types, relation paths, textual descriptions, and logical rules. Finally, we briefly introduce how KG embedding can be applied to and benefit a wide variety of downstream tasks such as KG completion, relation extraction, question answering, and so forth."",2017-12,2025-03-03 21:12:38,2025-03-03 21:12:38,2025-03-03 21:12:38,2724-2743,,12.0,29.0,,,Knowledge Graph Embedding,,,,,,,,,,,,IEEE Xplore,,Conference Name: IEEE Transactions on Knowledge and Data Engineering,,C:\Users\kasutaja\Zotero\storage\56UMP8BY\Wang et al. - 2017 - Knowledge Graph Embedding A Survey of Approaches .pdf"; C:\Users\kasutaja\Zotero\storage\SQSMM79B\8047276.html,,,Graphical models; Knowledge discovery; knowledge graph embedding; latent factor models; Market research; Matrix decomposition; Semantics; Statistical analysis; Statistical relational learning; Systematics; tensor/matrix factorization models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;
"NTSA8BMP,journalArticle,2022.0,""Li, Jing"; Sun, Aixin; Han, Jianglei;" Li, Chenliang"",A Survey on Deep Learning for Named Entity Recognition,IEEE Transactions on Knowledge and Data Engineering,,1558-2191,10.1109/TKDE.2020.2981314,https://ieeexplore.ieee.org/document/9039685,""Named entity recognition (NER) is the task to identify mentions of rigid designators from text belonging to predefined semantic types such as person, location, organization etc. NER always serves as the foundation for many natural language applications such as question answering, text summarization, and machine translation. Early NER systems got a huge success in achieving good performance with the cost of human engineering in designing domain-specific features and rules. In recent years, deep learning, empowered by continuous real-valued vector representations and semantic composition through nonlinear processing, has been employed in NER systems, yielding stat-of-the-art performance. In this paper, we provide a comprehensive review on existing deep learning techniques for NER. We first introduce NER resources, including tagged NER corpora and off-the-shelf NER tools. Then, we systematically categorize existing works based on a taxonomy along three axes: distributed representations for input, context encoder, and tag decoder. Next, we survey the most representative methods for recent applied techniques of deep learning in new NER problem settings and applications. Finally, we present readers with the challenges faced by NER systems and outline future directions in this area."",2022-01,2025-03-03 21:17:52,2025-03-03 21:17:52,2025-03-03 21:17:52,50-70,,1.0,34.0,,,,,,,,,,,,,,,IEEE Xplore,,Conference Name: IEEE Transactions on Knowledge and Data Engineering,,C:\Users\kasutaja\Zotero\storage\JYTCWTZV\Li et al. - 2022 - A Survey on Deep Learning for Named Entity Recogni.pdf"; C:\Users\kasutaja\Zotero\storage\JXGSBPH2\9039685.html,,,Task analysis; Annotations; deep learning; Deep learning; Encyclopedias; named entity recognition; Natural language processing; survey; Text recognition; Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;
"DFQIB352,conferencePaper,2024.0,""Ji, Mingxi"; Gu, Xueping; Guo, Qinghong;" Ding, Xikai"",Research on Government Data Governance in the Era of Large Language Model,2024 IEEE 9th International Conference on Data Science in Cyberspace (DSC),,,10.1109/DSC63484.2024.00099,https://ieeexplore.ieee.org/document/10858693,""Data is the fifth major factor of production, following land, labor, capital, and technology. Data governance is a crucial component of government administration, offering a new paradigm for addressing long-standing issues and enhancing governmental capabilities. With the advancement of artificial intelligence, strengthening government data governance through AI is a pressing issue for all levels of party committees and governments, as well as an important theoretical topic in academia for the foreseeable future. Based on this, studying the government data governance system from the perspective of artificial intelligence has significant practical implications for promoting governmental innovation, improving government service levels, and advancing the modernization of the national governance system and governance capabilities. This paper focuses on the government data governance system, using the data life cycle theory and digital governance theory as the main theoretical foundations. It employs literature analysis methods, survey methods, and other primary research methods, aiming to provide insights and suggestions for establishing and improving the government data governance system in the context of the era of large language model."",2024-08,2025-03-03 21:22:16,2025-03-03 21:22:16,2025-03-03 21:22:16,668-671,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,C:\Users\kasutaja\Zotero\storage\HQ7ESGZY\Ji et al. - 2024 - Research on Government Data Governance in the Era .pdf"; C:\Users\kasutaja\Zotero\storage\WLKGHUZJ\10858693.html,,,Data models; Large language models; Cyberspace; Data Elements; Data governance; Data science; Government; Government Data Governance; Large Language Model; Pressing; Production; Surveys; Technological innovation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 IEEE 9th International Conference on Data Science in Cyberspace (DSC),,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;
